ReleaseDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20120828,CA,11.74,88.26,69.44,23.05,1.14,0,8/28/12,9/3/12,1
20120821,CA,11.3,88.7,69.2,23.3,0.29,0,8/21/12,8/27/12,1
20120814,CA,11.3,88.7,63.84,23.31,0.29,0,8/14/12,8/20/12,1
20120807,CA,11.64,88.36,63.8,23.31,0.29,0,8/7/12,8/13/12,1
20120731,CA,11.64,88.36,63.8,23.6,0.29,0,7/31/12,8/6/12,1
20120724,CA,11.64,88.36,63.8,26.85,0.29,0,7/24/12,7/30/12,1
20120717,CA,15.88,84.12,59.74,22.92,0,0,7/17/12,7/23/12,1
20120710,CA,15.88,84.12,59.74,22.92,0,0,7/10/12,7/16/12,1
20120703,CA,15.88,84.12,59.77,22.92,0,0,7/3/12,7/9/12,1
20120626,CA,15.89,84.11,59.51,22.76,0,0,6/26/12,7/2/12,1
20120619,CA,15.89,84.11,59.51,22.6,0,0,6/19/12,6/25/12,1
20120612,CA,15.89,84.11,58.89,22.6,0,0,6/12/12,6/18/12,1
20120605,CA,15.89,84.11,58.89,22.6,0,0,6/5/12,6/11/12,1
20120529,CA,15.89,84.11,58.89,22.6,0,0,5/29/12,6/4/12,1
20120522,CA,15.89,84.11,58.89,22.6,0,0,5/22/12,5/28/12,1
20120515,CA,15.89,84.11,58.89,22.6,0,0,5/15/12,5/21/12,1
20120508,CA,15.89,84.11,58.89,21.14,0,0,5/8/12,5/14/12,1
20120501,CA,15.84,84.16,58.97,21.14,0,0,5/1/12,5/7/12,1
20120424,CA,15.84,84.16,60.23,22.87,0,0,4/24/12,4/30/12,1
20120417,CA,15.84,84.16,60.23,26.35,0,0,4/17/12,4/23/12,1
20120410,CA,4.89,95.11,81.47,49,0,0,4/10/12,4/16/12,1
20120403,CA,3.54,96.46,82.01,46.25,0,0,4/3/12,4/9/12,1
20120327,CA,2.22,97.78,89.61,46.25,0,0,3/27/12,4/2/12,1
20120320,CA,2.22,97.78,89.61,40.14,0,0,3/20/12,3/26/12,1
20120313,CA,0.11,99.89,90.14,45.73,0,0,3/13/12,3/19/12,1
20120306,CA,4.39,95.61,75.24,16.02,0,0,3/6/12,3/12/12,1
20120228,CA,4.39,95.61,72.09,16.02,0,0,2/28/12,3/5/12,1
20120221,CA,4.77,95.23,67.76,5.06,0,0,2/21/12,2/27/12,1
20120214,CA,10.37,89.63,59.06,0,0,0,2/14/12,2/20/12,1
20120207,CA,10.37,89.63,59.06,0,0,0,2/7/12,2/13/12,1
20120131,CA,11.09,88.91,57.33,0,0,0,1/31/12,2/6/12,1
20120124,CA,19.12,80.88,41.23,0,0,0,1/24/12,1/30/12,1
20120117,CA,18.74,81.26,46.34,3.1,0,0,1/17/12,1/23/12,1
20120110,CA,19.1,80.9,46.34,3.1,0,0,1/10/12,1/16/12,1
20120103,CA,29.91,70.09,46.34,0,0,0,1/3/12,1/9/12,1
20111227,CA,33.91,66.09,5.41,0,0,0,12/27/11,1/2/12,1
20111220,CA,71.58,28.42,0,0,0,0,12/20/11,12/26/11,1
20111213,CA,74.32,25.68,0,0,0,0,12/13/11,12/19/11,1
20111206,CA,82.53,17.47,0,0,0,0,12/6/11,12/12/11,1
20111129,CA,88.32,11.68,0,0,0,0,11/29/11,12/5/11,1
20111122,CA,88.42,11.58,0,0,0,0,11/22/11,11/28/11,1
20111115,CA,88.42,11.58,0,0,0,0,11/15/11,11/21/11,1
20111108,CA,88.51,11.49,0,0,0,0,11/8/11,11/14/11,1
20111101,CA,89.22,10.78,0,0,0,0,11/1/11,11/7/11,1
20111025,CA,89.25,10.75,0,0,0,0,10/25/11,10/31/11,1
20111018,CA,89.25,10.75,0,0,0,0,10/18/11,10/24/11,1
20111011,CA,89.25,10.75,0,0,0,0,10/11/11,10/17/11,1
20111004,CA,89.25,10.75,0,0,0,0,10/4/11,10/10/11,1
20110927,CA,89.14,10.86,0,0,0,0,9/27/11,10/3/11,1
20110920,CA,89.14,10.86,0,0,0,0,9/20/11,9/26/11,1
20110913,CA,87.36,12.64,0,0,0,0,9/13/11,9/19/11,1
20110906,CA,87.55,12.45,0,0,0,0,9/6/11,9/12/11,1
20110830,CA,92.14,7.86,0,0,0,0,8/30/11,9/5/11,1
20110823,CA,92.12,7.88,0,0,0,0,8/23/11,8/29/11,1
20110816,CA,92.12,7.88,0,0,0,0,8/16/11,8/22/11,1
20110809,CA,85.34,14.66,0,0,0,0,8/9/11,8/15/11,1
20110802,CA,85.34,14.66,0,0,0,0,8/2/11,8/8/11,1
20110726,CA,85.34,14.66,0,0,0,0,7/26/11,8/1/11,1
20110719,CA,85.34,14.66,0,0,0,0,7/19/11,7/25/11,1
20110712,CA,87.87,12.13,0,0,0,0,7/12/11,7/18/11,1
20110705,CA,87.71,12.29,0,0,0,0,7/5/11,7/11/11,1
20110628,CA,87.71,12.29,0,0,0,0,6/28/11,7/4/11,1
20110621,CA,99.99,0.01,0,0,0,0,6/21/11,6/27/11,1
20110614,CA,99.99,0.01,0,0,0,0,6/14/11,6/20/11,1
20110607,CA,99.99,0.01,0,0,0,0,6/7/11,6/13/11,1
20110531,CA,99.99,0.01,0,0,0,0,5/31/11,6/6/11,1
20110524,CA,99.99,0.01,0,0,0,0,5/24/11,5/30/11,1
20110517,CA,99.99,0.01,0,0,0,0,5/17/11,5/23/11,1
20110510,CA,99.99,0.01,0,0,0,0,5/10/11,5/16/11,1
